Timestamp,Container_ID,Commodity,Temperature_C,Humidity_%,Vibration_g,Latitude,Longitude,Destination,Market_Price_USD_per_ton,Spoilage_Risk
2026-08-11 00:39:51.306560,C004,Tomatoes,9.6,81.7,0.33,17.101678,87.326891,Chennai,2135,High
2026-08-11 00:40:51.306560,C004,Mangoes,3.4,66.5,0.08,25.752586,84.504156,Mumbai,1399,Low
2026-08-11 00:41:51.306560,C009,Grapes,5.1,68.4,0.44,16.66652,87.078789,Chennai,1102,Low
2026-08-11 00:42:51.306560,C004,Tomatoes,6.1,77.1,0.46,18.501419,81.165839,Chennai,1556,Medium
2026-08-11 00:43:51.306560,C006,Mangoes,5.7,87.0,0.28,9.228591,84.263296,Mumbai,1657,Medium
2026-08-11 00:44:51.306560,C010,Avocados,9.8,73.6,0.33,17.987676,77.018406,Mumbai,932,High
2026-08-11 00:45:51.306560,C004,Grapes,7.5,70.4,0.49,9.382506,83.226426,Mumbai,2071,Medium
2026-08-11 00:46:51.306560,C005,Mangoes,9.1,94.4,0.37,9.220283,79.606026,Mumbai,1379,High
2026-08-11 00:47:51.306560,C001,Mangoes,9.7,88.0,0.08,19.72717,78.95155,Chennai,1819,High
2026-08-11 00:48:51.306560,C008,Bananas,4.5,69.7,0.32,15.602876,81.750646,Hyderabad,1780,Low
2026-08-11 00:49:51.306560,C004,Mangoes,6.7,87.5,0.16,8.283697,74.739393,Chennai,1948,Medium
2026-08-11 00:50:51.306560,C010,Mangoes,5.0,81.6,0.1,24.919513,75.647587,Kochi,1754,Medium
2026-08-11 00:51:51.306560,C001,Avocados,6.4,85.8,0.31,15.985228,72.146066,Bengaluru,971,Medium
2026-08-11 00:52:51.306560,C004,Avocados,9.4,79.8,0.25,12.481722,82.170151,Kochi,1711,High
2026-08-11 00:53:51.306560,C009,Avocados,3.7,69.8,0.08,14.712985,87.923335,Kochi,1556,Low
2026-08-11 00:54:51.306560,C010,Grapes,4.0,78.9,0.16,26.367527,82.936886,Mumbai,2058,Low
